,value,month,year,change
178,1317.74,9,2006,0.03347562675116267
179,1287.15,8,2006,0.023213987584804197
180,1260.24,7,2006,0.02090665423610305
181,1253.17,6,2006,0.005610042531581261
182,1290.01,5,2006,-0.02939744807169009
183,1302.17,4,2006,-0.00942628351718211
184,1293.74,3,2006,0.006473809103266115
185,1276.65,2,2006,0.013209763940204344
186,1278.73,1,2006,-0.0016292640896093946
187,1262.07,12,2005,0.013028551766205543
188,1237.37,11,2005,0.019571022209544653
189,1191.96,10,2005,0.03669880472292031
190,1225.92,9,2005,-0.028490888956005156
191,1224.27,8,2005,0.001345927956147297
192,1222.24,7,2005,0.0016581309678420642
193,1202.25,6,2005,0.016355216651394167
194,1178.28,5,2005,0.019937616968184635
195,1164.43,4,2005,0.011754421699426199
196,1194.9,3,2005,-0.026167309327310484
197,1199.63,2,2005,-0.003958490250230096
198,1181.41,1,2005,0.015188016305027419
199,1199.21,12,2004,-0.015066742282526802
200,1168.94,11,2004,0.025241617398120364
201,1117.21,10,2004,0.04425376837134498
202,1117.66,9,2004,-0.0004027890906812548
203,1088.94,8,2004,0.025696544566326085
204,1105.85,7,2004,-0.015528862930923593
205,1132.76,6,2004,-0.02433422254374462
206,1102.78,5,2004,0.026466330025777807
207,1133.36,4,2004,-0.027729918932153153
208,1123.98,3,2004,0.008276275852332815
209,1143.36,2,2004,-0.017242299685047646
210,1132.52,1,2004,0.009480828435488364
211,1080.64,12,2003,0.04580934553032168
212,1049.9,11,2003,0.028446106011252636
213,1038.73,10,2003,0.010639108486522608
214,1019.44,9,2003,0.0185707546715701
215,989.53,8,2003,0.029339637448010714
216,992.54,7,2003,-0.003041848150131976
217,988.0,6,2003,0.0045741229572611175
218,935.96,5,2003,0.05267206477732789
219,890.03,4,2003,0.04907260994059581
220,846.63,3,2003,0.04876240126737297
221,837.03,2,2003,0.011339073739413896
222,895.84,1,2003,-0.07026032519742431
223,899.18,12,2002,-0.003728344347204704
224,909.93,11,2002,-0.011955337084899487
225,854.63,10,2002,0.0607739056850527
226,867.81,9,2002,-0.015421878473725448
227,912.55,8,2002,-0.05155506389647502
228,903.59,7,2002,0.009818640074516383
229,1014.02,6,2002,-0.12221250788521343
230,1079.25,5,2002,-0.06432811976095154
231,1111.93,4,2002,-0.030280287236506886
232,1153.79,3,2002,-0.03764625471027849
233,1100.67,2,2002,0.04603957392593094
234,1140.21,1,2002,-0.03592357382321665
235,1144.93,12,2001,-0.004139588321449672
236,1129.68,11,2001,0.013319591590752244
237,1076.59,10,2001,0.046995609376106584
238,1044.64,9,2001,0.029677035826080278
239,1178.5,8,2001,-0.1281398376474192
240,1204.45,7,2001,-0.022019516334323308
241,1238.71,6,2001,-0.028444518244842065
242,1270.37,5,2001,-0.025558847510716687
243,1189.84,4,2001,0.06339098058046078
244,1185.85,3,2001,0.0033533920527130112
245,1305.75,2,2001,-0.10110890922123383
246,1335.63,1,2001,-0.022883400344629656
